sudut,v,f1,f2,dampf1,dampf2
-3,0,4.64321381299522,8.774489683839676,-0.02241440243320629,-0.29117017948514995
-3,2.4,4.64178327283538,8.770376998522302,-0.036129746943036486,-0.2005103212366592
-3,3.3,4.643982139758916,8.76981238484585,-0.04684618088734449,-0.23211059161427222
-3,4.1,4.645849557680827,8.770782367997146,-0.04825251136849083,-0.26669244737045783
-3,4.8,4.643295988240471,8.778011948710722,-0.07133217845560398,-0.10427936769486569
-3,5.5,4.64817044097387,8.756179964090576,-0.0801505090465458,-0.6372140995251571
-3,6.2,4.624525377783163,8.77737425598097,0.19823753539773922,1.0277903791011578
-3,6.5,4.6427431986969925,8.778897887517145,-0.09417239530512439,1.676643156076197
-3,6.9,4.658486811849222,8.777799876258673,-0.08486974382810615,-0.5865715924680249
-3,7.2,4.65420476469181,8.79174482656598,-0.06888546610751237,-0.569681668523779
-3,7.6,4.656181086567817,8.780372819535282,-0.07868303018812937,-0.5451872356848696
-3,8.0,4.65510366022567,8.78148084366605,-0.08505077248053344,-0.16787128570643467
-3,8.3,4.660518892090916,8.790593407963955,-0.07157335177038071,-0.2834933603728752
-3,8.6,4.664257969497395,8.786678328758383,-0.0970011892689399,-0.23221153067072678
-3,9.0,4.616205307997628,8.746437296287583,0.17604167470181614,0.34384759728126324
-3,9.2,4.6627272763679875,8.772848560319542,-0.10274796904604495,-0.45326258937651087
-3,9.7,4.661655726485032,8.731525170570611,-0.12429664411781724,-3.5309299800960297
-3,9.9,4.66537323056649,8.79673712831194,-0.11041766040015573,-0.25368009666975744
-3,10.2,4.631063473467921,8.709932776698203,0.24424474574934982,0.3254369879074842
-3,10.8,4.6385312180652365,8.77076656557798,0.03399208311286684,0.09473667178902431
-3,11.0,4.657804224190459,8.791325434263621,-0.054992613423183095,-0.49345071561075793
-3,11.5,4.669824876079232,8.683068327558894,-0.09369841354972462,-0.3281424250034678
-3,11.8,4.6528151818660985,8.685800838008637,-0.0290835681817029,-0.4846014733479067
-3,12.2,4.674702503302535,8.739528190972456,-0.03869179665713021,1.0071295752131477
-3,12.5,4.661576341535283,8.729962979020264,-0.2516673538972264,-0.35708975278389854
-3,12.9,4.675073193048304,8.769941607185714,-0.1947850789912966,-0.1405018035202084
-3,13.0,4.658459682830053,8.663384511996023,0.05258262997770258,1.4181452042857519
-3,13.4,4.683054966506892,8.726562852866607,-0.22432837594158211,-0.242966822321858
-3,13.8,4.683449592038872,8.771222768292658,-0.07631868028252699,-1.2134383088001042
-3,14.0,4.6605394846688375,8.723232222655419,-0.25035679343688133,0.6284499236599621
-3,14.5,4.669790608083544,8.74119723792007,-0.16920254045078098,-0.6834679177761298
-3,14.9,4.677138065613231,8.681250203133082,-0.1584247695313393,-0.41761667821968407
-3,15.8,4.67765130352209,8.737409007423388,-0.016861997788792302,-0.1718357281014039
-3,16.1,4.657513045399457,8.638553524708064,-0.060932662003439754,-0.5734446682286728
-3,17.2,4.712622770087329,8.669975280832897,-0.16837344069849566,-0.32903341828820126
-3,17.9,4.584101815545839,8.700252977027372,-1.5331890116584501,0.5002896901779202
-3,18.7,4.646618649459471,8.705701206700542,-0.36235774542320903,-0.8358959372030854
-3,19.5,4.821324503199806,8.781013037890405,0.2677480631897708,-0.6554769485951897
0,0.0,4.639081184614823,8.782887197687907,-0.024312269292490106,-0.278372418688725
0,2.5,4.617565359442433,8.738871900235825,0.11527383617805487,1.701657223680124
0,3.2,4.622437077568802,8.74473796323971,0.055888416509476214,2.072607198770946
0,3.8,4.614291967842246,8.734944883401374,0.18302793857582386,1.7413406174020691
0,4.7,4.64209806727416,8.631210878682671,-0.03691236239976377,-4.9166695912310105
0,5.3,4.620721452181427,8.586549714609992,-0.06940240609206937,-8.639939529857855
0,6.0,4.6350352353388455,8.589387794843477,-0.06209128330736951,-0.0385056950574037
0,6.5,4.644022592504355,8.574229763372935,-0.06267718082480593,-5.385654195824549
0,6.8,4.644076989309294,8.535633985720786,-0.07656041230656573,1.2535465621371724
0,7.1,4.633795439123577,8.703031802961764,-0.275999291748321,2.102738408670099
0,7.4,4.628936443841959,8.651942874129997,-0.02844104875734783,1.6473421299618825
0,8.0,4.645836915839296,8.529937539233508,-0.11272579563142557,-1.1840463245673911
0,8.3,4.612146384941347,8.66305063033605,0.04281875068521996,0.8360269269784443
